Abounding_with.Depictive,Locative_relation.Direction,Locative_relation.Distance
Abounding_with.Location,Locative_relation.Figure
Abounding_with.Theme,Locative_relation.Ground
Absorb_heat.Cause,Becoming.Cause
Absorb_heat.Entity,Becoming.Entity
Absorb_heat.Manner,Becoming.Manner
Absorb_heat.Place,Becoming.Place
Absorb_heat.Time,Becoming.Time
Abundance.Circumstances,Gradable_attributes.Circumstances
Abundance.Collection,Gradable_attributes.Entity
Abundance.Degree,Gradable_attributes.Degree
Abundance.Measure,Gradable_attributes.Value
Abundance.Quantity,Gradable_attributes.Attribute
Abundance.Time,Gradable_attributes.Time
Abusing.Abuser,Committing_crime.Perpetrator
Abusing.Frequency,Committing_crime.Frequency
Abusing.Instrument,Committing_crime.Instrument
Abusing.Manner,Committing_crime.Manner
Abusing.Means,Committing_crime.Means
Abusing.Place,Committing_crime.Place
Abusing.Purpose,Committing_crime.Purpose
Abusing.Reason,Committing_crime.Reason
Abusing.Time,Committing_crime.Time
Abusing.Type,Committing_crime.Crime
Accompaniment.Coparticipant,Relation.Entity2
Accompaniment.Participant,Relation.Entity1
Accoutrements.Accoutrement,Artifact.Artifact
Accoutrements.Creator,Artifact.Creator
Accoutrements.Material,Artifact.Material
Accoutrements.Name,Artifact.Name
Accoutrements.Style,Artifact.Type
Accoutrements.Time_of_creation,Artifact.Time_of_creation
Accoutrements.Use,Artifact.Use
Accuracy.Agent,Inclination.Entity
Accuracy.Degree,Inclination.Degree
Achieving_first.Basis,Intentionally_create.Components
Achieving_first.Cognizer,Intentionally_create.Creator
Achieving_first.Field,Intentionally_create.Depictive
Achieving_first.Instrument,Intentionally_create.Instrument
Achieving_first.Manner,Intentionally_create.Manner
Achieving_first.Means,Intentionally_create.Means
Achieving_first.New_idea,Intentionally_create.Created_entity
Achieving_first.Place,Intentionally_create.Place
Achieving_first.Purpose,Intentionally_create.Purpose
Achieving_first.Time,Intentionally_create.Time
Active_substance.Descriptor,Substance.Descriptor
